#timestamp wx wy wz
1578481475.250000 0.012298 -0.000145 -0.000899
1578481475.252500 0.014505 -0.003107 -0.003691
1578481475.255000 0.017273 -0.007026 0.002286
1578481475.257500 0.017071 -0.005347 0.000174
1578481475.260000 0.020169 -0.006905 0.000933
1578481475.262500 0.021175 -0.003935 0.000380
1578481475.265000 0.020650 -0.006467 -0.000682
1578481475.267500 0.024602 -0.002837 0.003135
1578481475.270000 0.024225 -0.006226 -0.002159
1578481475.272500 0.018753 -0.007224 0.003906
1578481475.275000 0.024216 -0.009151 0.007287
1578481475.277500 0.020947 -0.009881 0.002547
1578481475.280000 0.017625 -0.002265 0.003098
1578481475.282500 0.015655 -0.001945 0.000599
1578481475.285000 0.011735 -0.003684 0.005737
1578481475.287500 0.004938 0.000915 0.003533
1578481475.290000 0.001733 0.000933 -0.001764
1578481475.292500 0.003205 0.005931 0.001100
1578481475.295000 0.001377 -0.000256 -0.000098
1578481475.297500 -0.006017 0.007252 -0.003481
1578481475.300000 -0.012816 0.009619 -0.000964
1578481475.302500 -0.011748 0.007997 0.001651
1578481475.305000 -0.019525 0.008513 -0.000061
1578481475.307500 -0.017297 0.008006 0.002006
1578481475.310000 -0.014757 0.011288 0.001150
1578481475.312500 -0.020377 0.011484 -0.003295
1578481475.315000 -0.019769 0.008693 0.001618
1578481475.317500 -0.019270 0.011919 -0.001296
1578481475.320000 -0.019868 0.014704 -0.004157
1578481475.322500 -0.015585 0.005221 0.003193
1578481475.325000 -0.016098 0.006650 0.000022
1578481475.327500 -0.010376 0.006457 -0.001942
1578481475.330000 -0.012039 0.006773 -0.002007
1578481475.332500 -0.013414 0.004597 0.003955
1578481475.335000 -0.008889 0.006327 -0.001059
1578481475.337500 0.001615 0.000498 -0.003383
1578481475.340000 -0.002523 0.001368 0.002256
1578481475.342500 0.002994 0.007847 0.002478
1578481475.345000 0.009072 0.000854 -0.002290
1578481475.347500 0.007507 -0.001556 -0.003162
1578481475.350000 0.005840 -0.001317 0.003980
1578481475.352500 0.009386 -0.002684 0.003618
1578481475.355000 0.011791 -0.003299 0.000648
1578481475.357500 0.011154 -0.002123 -0.000103
1578481475.360000 0.010684 -0.003672 0.000833
1578481475.362500 0.012568 -0.005350 0.004692
1578481475.365000 0.018431 0.001936 0.005844
1578481475.367500 0.017864 -0.005600 0.000420
1578481475.370000 0.011761 -0.001575 0.002825
1578481475.372500 0.008652 -0.003968 -0.004722
1578481475.375000 0.011569 -0.005342 -0.000355
1578481475.377500 0.008413 -0.004227 0.004914
1578481475.380000 0.005728 0.001477 -0.001504
1578481475.382500 0.005482 0.002456 0.004099
1578481475.385000 0.005178 0.005861 0.001739
1578481475.387500 -0.000153 -0.000803 0.002205
1578481475.390000 0.003201 0.002095 -0.000265
1578481475.392500 -0.000684 0.009793 -0.004999
1578481475.395000 -0.003010 0.004888 0.002316
1578481475.397500 -0.010042 0.004481 -0.005306
1578481475.400000 -0.008428 0.004476 -0.001378
1578481475.402500 -0.011422 0.006515 -0.000709
1578481475.405000 -0.014839 0.004613 -0.000781
1578481475.407500 -0.012396 0.010104 0.000106
1578481475.410000 -0.008404 0.010902 -0.001742
1578481475.412500 -0.012574 0.005466 -0.000960
1578481475.415000 -0.007853 0.007439 0.000995
1578481475.417500 -0.011878 0.007944 -0.002323
1578481475.420000 -0.011578 0.004849 -0.002390
1578481475.422500 -0.006177 0.006808 0.004299
1578481475.425000 -0.007260 0.000577 -0.003801
1578481475.427500 -0.007918 0.003733 -0.000128
1578481475.430000 -0.006360 0.002415 0.004734
1578481475.432500 -0.002012 0.004704 0.001960
1578481475.435000 0.001486 0.002035 0.002716
1578481475.437500 0.001401 -0.005686 -0.004564
1578481475.440000 0.001609 0.005201 -0.002940
1578481475.442500 0.002803 -0.000319 0.001416
1578481475.445000 0.007164 -0.003234 0.002927
1578481475.447500 0.011176 -0.004292 -0.002033
1578481475.450000 0.010078 -0.000384 -0.000170
1578481475.452500 0.008947 -0.002235 -0.000548
1578481475.455000 0.015552 -0.007336 0.004207
1578481475.457500 0.009362 -0.005889 -0.001232
1578481475.460000 0.011407 -0.002435 0.000769
1578481475.462500 0.011881 -0.000650 0.005491
1578481475.465000 0.011307 -0.003986 0.003128
1578481475.467500 0.010800 -0.003369 0.002873
1578481475.470000 0.009139 -0.003368 0.004110
1578481475.472500 0.008309 -0.001515 0.005664
1578481475.475000 0.003134 0.002700 0.006013
1578481475.477500 0.007460 0.001417 -0.002238
1578481475.480000 -0.000468 0.004196 0.001213
1578481475.482500 0.001213 -0.000376 0.001901
1578481475.485000 -0.007479 0.006633 -0.000997
1578481475.487500 -0.006425 0.002120 -0.001438
1578481475.490000 -0.001493 0.006558 0.001705
1578481475.492500 -0.009140 0.006750 0.002101
1578481475.495000 -0.013265 0.006026 -0.000592
1578481475.497500 -0.013098 0.007136 0.001523
1578481475.500000 -0.011878 0.008379 -0.001207
1578481475.502500 -0.020687 0.012097 0.001428
1578481475.505000 -0.015415 0.009996 -0.003393
1578481475.507500 -0.011933 0.007513 -0.003503
1578481475.510000 -0.016959 0.010362 0.001763
1578481475.512500 -0.017905 0.011413 -0.000603
1578481475.515000 -0.013763 0.010602 -0.000463
1578481475.517500 -0.014435 0.005838 0.000653
1578481475.520000 -0.014995 0.006589 -0.001155
1578481475.522500 -0.011748 0.003862 -0.001638
1578481475.525000 -0.005189 0.001939 -0.004777
1578481475.527500 -0.007062 0.003856 -0.001553
1578481475.530000 -0.006256 0.003168 -0.000925
1578481475.532500 -0.001784 0.002033 0.004570
1578481475.535000 0.002943 0.002840 -0.000317
1578481475.537500 0.000815 0.004700 -0.001329
1578481475.540000 0.006825 -0.001180 -0.001986
1578481475.542500 0.012319 -0.005658 0.001146
1578481475.545000 0.012591 -0.003125 0.004008
1578481475.547500 0.014967 -0.005534 0.001220
1578481475.550000 0.014628 -0.007941 -0.002019
1578481475.552500 0.017895 -0.007276 0.002538
1578481475.555000 0.017790 -0.004424 0.001916
1578481475.557500 0.018090 -0.007945 -0.001067
1578481475.560000 0.017659 -0.008327 0.001046
1578481475.562500 0.011438 -0.004664 0.000392
