#timestamp wx wy wz
1578481025.395000 0.002110 -0.002091 -0.000514
1578481025.397500 0.005826 -0.001073 0.000171
1578481025.400000 0.006831 0.004497 -0.001764
1578481025.402500 0.012381 0.000916 -0.004117
1578481025.405000 0.008702 0.011243 0.001878
1578481025.407500 0.011672 0.003357 0.005779
1578481025.410000 0.011140 0.007521 -0.002307
1578481025.412500 0.012572 0.005376 -0.004140
1578481025.415000 0.016879 0.005080 -0.002505
1578481025.417500 0.008258 0.000392 -0.007153
1578481025.420000 0.004821 0.002868 -0.001945
1578481025.422500 0.006807 0.005116 -0.004502
1578481025.425000 0.004552 0.004368 -0.002077
1578481025.427500 0.002097 0.007805 -0.003546
1578481025.430000 0.002037 0.004193 0.000982
1578481025.432500 -0.001986 0.005320 -0.000030
1578481025.435000 -0.003085 0.006309 -0.002001
1578481025.437500 -0.002635 0.002371 0.001198
1578481025.440000 -0.009626 -0.000466 0.001544
1578481025.442500 -0.012210 -0.001359 -0.000982
1578481025.445000 -0.015776 0.000598 0.002767
1578481025.447500 -0.010227 0.001019 -0.001124
1578481025.450000 -0.012937 -0.003491 0.000052
1578481025.452500 -0.021304 -0.002120 0.002165
1578481025.455000 -0.018206 0.001408 0.002770
1578481025.457500 -0.023544 -0.005293 0.007075
1578481025.460000 -0.018178 -0.005642 -0.000434
1578481025.462500 -0.014742 -0.006622 0.001594
1578481025.465000 -0.020438 -0.002235 0.002164
1578481025.467500 -0.016296 -0.003612 0.002606
1578481025.470000 -0.013654 -0.003386 -0.001979
1578481025.472500 -0.011508 -0.001790 0.001563
1578481025.475000 -0.015110 0.001448 -0.002444
1578481025.477500 -0.009897 0.001287 0.001355
1578481025.480000 -0.008754 -0.000885 -0.005946
1578481025.482500 -0.007293 0.003590 -0.003883
1578481025.485000 -0.001472 -0.005428 -0.002453
1578481025.487500 -0.006811 -0.002317 0.005493
1578481025.490000 0.001664 -0.001246 0.004263
1578481025.492500 0.003397 0.000671 -0.001979
1578481025.495000 0.007549 -0.001064 0.000806
1578481025.497500 0.009030 0.001191 0.000727
1578481025.500000 0.008108 0.003366 -0.003789
1578481025.502500 0.007239 0.002237 -0.003590
1578481025.505000 0.003934 0.008029 0.000395
1578481025.507500 0.014146 0.002651 0.000958
1578481025.510000 0.013874 0.007595 -0.001863
1578481025.512500 0.018342 0.001457 -0.000571
1578481025.515000 0.016919 0.007427 0.000037
1578481025.517500 0.010756 0.004892 -0.000757
1578481025.520000 0.002749 0.001617 -0.001605
1578481025.522500 0.000647 0.002930 -0.001223
1578481025.525000 0.000630 0.004955 0.001435
1578481025.527500 0.002655 0.005129 -0.001110
1578481025.530000 0.002010 0.005770 0.000982
1578481025.532500 -0.005437 -0.001402 0.000146
1578481025.535000 -0.007422 -0.000101 -0.002584
1578481025.537500 -0.006729 0.000411 -0.001445
1578481025.540000 -0.013593 0.001852 0.000031
1578481025.542500 -0.012268 -0.002114 -0.002044
1578481025.545000 -0.007161 0.000165 0.000213
1578481025.547500 -0.013310 -0.003806 0.000125
1578481025.550000 -0.018141 0.001135 -0.002868
1578481025.552500 -0.016172 -0.007340 -0.002702
1578481025.555000 -0.014932 -0.001155 0.003040
1578481025.557500 -0.013763 -0.004774 -0.005203
1578481025.560000 -0.018719 0.005735 0.000347
1578481025.562500 -0.014548 -0.002490 -0.001656
1578481025.565000 -0.015242 0.001594 -0.001106
1578481025.567500 -0.016244 -0.002918 0.001848
1578481025.570000 -0.012392 0.001904 -0.001048
1578481025.572500 -0.012407 -0.001158 0.000937
1578481025.575000 -0.009647 0.001733 0.000854
1578481025.577500 -0.009204 -0.004201 -0.003883
1578481025.580000 -0.011389 -0.001353 -0.001100
1578481025.582500 -0.007090 0.003485 -0.000884
1578481025.585000 -0.004768 -0.000671 -0.004622
1578481025.587500 0.001527 -0.001772 -0.000881
1578481025.590000 -0.000875 -0.001834 0.001287
1578481025.592500 0.000077 0.002171 -0.002739
1578481025.595000 0.002861 -0.005727 -0.000930
1578481025.597500 0.004195 0.001544 -0.003833
1578481025.600000 0.004838 0.001793 -0.003266
1578481025.602500 0.006154 0.003627 -0.001180
1578481025.605000 0.004515 0.003320 0.000985
1578481025.607500 0.008968 0.005659 0.001149
1578481025.610000 0.009175 0.008035 -0.001211
1578481025.612500 0.008939 0.007586 -0.001843
1578481025.615000 0.010929 0.005387 -0.003111
1578481025.617500 0.010870 0.001249 -0.002137
1578481025.620000 0.006557 0.006208 -0.000878
1578481025.622500 0.007167 0.006817 -0.004753
1578481025.625000 0.005136 0.005230 0.004530
1578481025.627500 0.005884 0.004946 -0.001501
1578481025.630000 0.002080 0.005580 0.000477
1578481025.632500 -0.000191 0.004137 0.001314
1578481025.635000 -0.006236 0.002250 0.001536
1578481025.637500 -0.008041 0.003688 0.001466
1578481025.640000 -0.007747 0.001365 0.000523
1578481025.642500 -0.010791 -0.003633 -0.003824
1578481025.645000 -0.008489 -0.001106 -0.002636
1578481025.647500 -0.012641 -0.001726 0.001255
1578481025.650000 -0.014262 -0.007245 0.002499
1578481025.652500 -0.020841 -0.002924 0.002754
1578481025.655000 -0.018497 -0.003526 0.006106
1578481025.657500 -0.018743 -0.001189 -0.003050
1578481025.660000 -0.022045 -0.000544 0.000390
1578481025.662500 -0.015925 -0.002594 0.003365
1578481025.665000 -0.017713 0.006236 -0.001246
1578481025.667500 -0.016992 -0.000177 -0.002487
1578481025.670000 -0.017375 -0.002714 0.005020
1578481025.672500 -0.014633 0.000244 0.004998
1578481025.675000 -0.011025 -0.003928 0.000568
1578481025.677500 -0.010942 -0.001745 -0.002052
1578481025.680000 -0.008674 -0.001164 -0.001359
1578481025.682500 -0.008114 -0.003916 0.001317
1578481025.685000 -0.011688 0.001234 0.000727
1578481025.687500 0.000462 0.001742 -0.001150
1578481025.690000 0.004996 0.000004 0.002529
1578481025.692500 0.002018 0.002852 -0.005667
1578481025.695000 0.001045 0.000980 -0.002357
1578481025.697500 0.007249 0.005324 -0.001767
1578481025.700000 0.011535 0.003771 0.000261
1578481025.702500 0.008284 0.004375 -0.003284
1578481025.705000 0.008254 0.002435 -0.001879
1578481025.707500 0.005427 0.009798 0.001204
1578481025.710000 0.008184 0.002435 -0.002001
1578481025.712500 0.011018 0.003894 -0.001071
1578481025.715000 0.012624 0.005943 -0.005402
1578481025.717500 0.011450 0.005403 0.000510
1578481025.720000 0.008298 -0.000119 0.001688
1578481025.722500 0.002761 0.000663 -0.002618
1578481025.725000 0.008203 0.003466 0.003642
1578481025.727500 0.001523 0.003541 -0.004211
1578481025.730000 0.001648 0.004062 -0.001928
1578481025.732500 0.003086 0.005144 -0.000161
1578481025.735000 -0.004765 0.009717 0.001240
1578481025.737500 0.000037 0.006215 0.002132
1578481025.740000 -0.013556 0.004180 0.001290
1578481025.742500 -0.005761 0.000048 0.001474
1578481025.745000 -0.007318 -0.001585 0.002128
1578481025.747500 -0.010954 -0.001112 -0.002882
1578481025.750000 -0.015379 0.004616 0.001490
1578481025.752500 -0.018138 -0.001599 0.003494
1578481025.755000 -0.023289 -0.001866 0.001158
1578481025.757500 -0.023457 0.002427 0.004825
1578481025.760000 -0.025561 0.005402 -0.001912
1578481025.762500 -0.022815 -0.003742 0.001489
1578481025.765000 -0.024286 -0.002545 0.002885
1578481025.767500 -0.026785 -0.000657 0.004528
1578481025.770000 -0.020128 -0.001800 0.000452
1578481025.772500 -0.024219 -0.000578 -0.004490
1578481025.775000 -0.024016 -0.003827 -0.001490
1578481025.777500 -0.022064 0.002792 0.003617
1578481025.780000 -0.020042 0.001279 0.001071
1578481025.782500 -0.027432 0.000775 0.003067
1578481025.785000 -0.016546 -0.003605 0.002864
1578481025.787500 -0.014324 -0.005063 -0.001073
1578481025.790000 -0.013167 -0.005104 0.002797
1578481025.792500 -0.006996 -0.003481 -0.000213
1578481025.795000 -0.006554 -0.003611 -0.001614
1578481025.797500 -0.001393 -0.001597 -0.001574
1578481025.800000 -0.001404 0.004494 -0.000781
1578481025.802500 0.002673 0.003117 -0.001103
1578481025.805000 -0.000644 0.008067 -0.003336
1578481025.807500 0.005107 0.008129 -0.005455
1578481025.810000 0.006993 0.006481 0.003056
