#timestamp tx ty tz qx qy qz qw
1578481475.305580 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1578481475.406451 -0.001742 -0.000630 -0.003017 0.000169 -0.001420 -0.000181 0.999999
1578481475.507321 -0.002776 -0.001003 -0.002148 0.000149 -0.001214 -0.000285 0.999999
1578481475.608194 -0.001895 -0.000238 -0.004078 0.000335 -0.002011 -0.000255 0.999998
1578481475.709064 -0.001846 -0.000667 -0.003184 0.000349 -0.001782 -0.000352 0.999998
1578481475.809935 -0.002107 -0.000283 -0.003370 0.000324 -0.001691 -0.000393 0.999998
1578481475.910807 -0.002421 -0.001482 -0.001942 0.000333 -0.001004 0.000004 0.999999
1578481476.011525 -0.001414 -0.000392 -0.002419 0.000103 -0.001263 -0.000060 0.999999
1578481476.112396 -0.001131 0.000026 -0.003514 0.000170 -0.001344 0.000333 0.999999
1578481476.213268 -0.001630 -0.001613 -0.004450 0.000368 -0.001476 0.002052 0.999997
1578481476.314140 0.000388 -0.000816 -0.003764 0.000217 -0.001188 0.002546 0.999996
1578481476.415012 0.000355 -0.000207 -0.004108 0.000411 -0.000828 0.002627 0.999996
1578481476.515884 0.000325 0.000228 -0.004510 0.000391 -0.001207 0.002591 0.999996
1578481476.616754 0.000837 -0.000092 -0.004153 0.000184 -0.001087 0.002519 0.999996
1578481476.717625 0.000629 -0.000065 -0.004965 0.000324 -0.001066 0.002557 0.999996
1578481476.818497 0.000891 0.000091 -0.004355 0.000163 -0.001096 0.002499 0.999996
1578481476.919368 0.000839 -0.000125 -0.004697 0.000040 -0.001084 0.002820 0.999995
1578481477.020086 0.000058 0.000419 -0.002109 -0.000148 0.000361 0.002825 0.999996
1578481477.120957 0.001307 0.001352 -0.003138 -0.000600 0.000472 0.003921 0.999992
1578481477.221829 0.001643 0.001469 -0.002834 -0.000837 0.002046 0.005504 0.999982
1578481477.322701 0.006145 0.002769 -0.007262 -0.002694 0.013036 0.009884 0.999863
1578481477.423571 0.005794 -0.000217 -0.030052 -0.006463 0.039591 0.015539 0.999074
1578481477.524443 -0.011892 0.006488 -0.006028 -0.010443 0.074687 0.028189 0.996754
1578481477.625314 -0.037812 0.011803 0.047511 -0.011947 0.088551 0.036984 0.995313
1578481477.726186 -0.043116 0.018221 0.120754 -0.010666 0.092871 0.034310 0.995030
1578481477.827057 -0.054255 0.016997 0.209825 -0.005773 0.094536 0.019857 0.995307
1578481477.927929 -0.053655 0.012950 0.309365 -0.002362 0.080699 0.000651 0.996736
1578481478.028647 -0.058535 0.019139 0.366678 0.003883 0.070984 -0.016703 0.997330
1578481478.129520 -0.068854 0.028435 0.474350 0.007873 0.056865 -0.047457 0.997222
1578481478.230393 -0.073769 0.017101 0.542769 0.014432 0.027333 -0.079738 0.996337
1578481478.331267 -0.039690 0.011134 0.613755 0.023760 0.001915 -0.103940 0.994298
1578481478.432139 0.022742 -0.000595 0.672274 0.031448 -0.020651 -0.118653 0.992223
1578481478.533010 0.084366 -0.022328 0.725634 0.033055 -0.027779 -0.127141 0.990944
1578481478.633881 0.146096 -0.038096 0.688780 0.033472 -0.026178 -0.121536 0.991677
1578481478.734753 0.259710 -0.061272 0.662686 0.031075 -0.019178 -0.104072 0.993899
1578481478.835627 0.336736 -0.089061 0.538383 0.018035 0.020070 -0.094143 0.995193
1578481478.936499 0.382360 -0.107517 0.505377 0.015269 0.028463 -0.083570 0.995978
1578481479.037207 0.397326 -0.111520 0.481804 0.001473 0.040248 -0.079394 0.996029
1578481479.138079 0.389451 -0.123346 0.495981 -0.011350 0.081083 -0.071622 0.994066
1578481479.238952 0.360525 -0.116545 0.448094 -0.012384 0.110504 -0.065215 0.991657
1578481479.339824 0.304045 -0.092679 0.454326 -0.014019 0.126672 -0.053591 0.990397
1578481479.440698 0.238717 -0.063729 0.455075 -0.013171 0.136761 -0.032006 0.989999
1578481479.541570 0.144291 -0.023668 0.482331 -0.007487 0.145177 -0.006785 0.989354
1578481479.642443 0.050566 0.015981 0.510378 -0.001743 0.130737 0.021354 0.991186
1578481479.743315 -0.043131 0.072827 0.509595 0.021920 0.120555 0.068844 0.990074
1578481479.844188 -0.119414 0.109115 0.538350 0.052757 0.111314 0.118364 0.985300
1578481479.945061 -0.170253 0.133979 0.595475 0.068897 0.096289 0.147947 0.981883
1578481480.045768 -0.206510 0.118330 0.666629 0.076534 0.081014 0.158117 0.981111
1578481480.146641 -0.231845 0.085368 0.706727 0.073530 0.047351 0.150081 0.984798
1578481480.247513 -0.249118 0.019680 0.736842 0.065611 0.013696 0.117555 0.990802
1578481480.348385 -0.237712 -0.037152 0.725894 0.049097 -0.016642 0.055179 0.997130
1578481480.449259 -0.270461 -0.139221 0.748057 0.026394 -0.030470 -0.033418 0.998628
1578481480.550130 -0.276349 -0.225644 0.732847 0.018226 -0.025790 -0.114615 0.992908
1578481480.651003 -0.291402 -0.286606 0.665237 0.019343 -0.013843 -0.186591 0.982150
1578481480.751876 -0.320053 -0.365850 0.597462 -0.007536 0.020525 -0.243615 0.969626
1578481480.852748 -0.340015 -0.395373 0.618724 -0.023468 0.055540 -0.264261 0.962565
1578481480.953621 -0.291523 -0.418797 0.675035 -0.037010 0.078714 -0.253960 0.963296
1578481481.054331 -0.300250 -0.364361 0.615645 -0.036798 0.141754 -0.206851 0.967349
1578481481.155203 -0.305768 -0.274589 0.568171 -0.010108 0.206978 -0.138622 0.968422
1578481481.256075 -0.268893 -0.175350 0.576239 0.006589 0.235323 -0.062995 0.969851
1578481481.356949 -0.248614 -0.062620 0.598426 0.013681 0.217130 0.012527 0.975966
1578481481.457822 -0.229233 0.009716 0.586523 0.027041 0.169976 0.079394 0.981872
1578481481.558695 -0.224031 0.062432 0.586440 0.035017 0.117088 0.119047 0.985338
1578481481.659568 -0.202099 0.097616 0.631580 0.039127 0.058912 0.132763 0.988621
1578481481.760442 -0.170998 0.104775 0.637953 0.022618 0.005948 0.125466 0.991822
1578481481.861314 -0.126144 0.105391 0.705357 0.016397 -0.033077 0.111200 0.993112
1578481481.962187 -0.081665 0.051441 0.699149 0.009406 -0.047858 0.086725 0.995038
1578481482.062891 -0.022825 0.021418 0.710242 0.013185 -0.052538 0.068331 0.996191
1578481482.163762 0.043747 -0.051319 0.714604 0.014780 -0.053835 0.043468 0.997494
1578481482.264635 0.135878 -0.093612 0.693735 0.017520 -0.047012 0.022509 0.998487
1578481482.365507 0.226272 -0.127496 0.701099 0.020591 -0.035095 -0.001705 0.999170
1578481482.466379 0.257106 -0.218828 0.587179 0.014851 0.013903 -0.032477 0.999265
1578481482.567252 0.276463 -0.262541 0.626438 -0.003726 0.044429 -0.050204 0.997743
1578481482.668124 0.276269 -0.285725 0.618125 -0.012341 0.070066 -0.064034 0.995409
1578481482.768995 0.247134 -0.294512 0.551383 -0.010210 0.104875 -0.070497 0.991931
1578481482.869868 0.203734 -0.292044 0.507756 -0.002153 0.132777 -0.070522 0.988631
1578481482.970741 0.137758 -0.281570 0.494636 0.008505 0.141751 -0.066794 0.987610
1578481483.071451 0.051979 -0.264964 0.498264 0.023766 0.141644 -0.056646 0.988010
1578481483.172324 -0.056083 -0.232466 0.483875 0.033514 0.132890 -0.039631 0.989771
1578481483.273196 -0.168133 -0.199515 0.505394 0.045311 0.121720 -0.026536 0.991175
1578481483.374069 -0.258456 -0.162324 0.575745 0.055315 0.129923 -0.003278 0.989974
1578481483.474942 -0.319349 -0.139826 0.572294 0.047161 0.111244 0.024051 0.992382
1578481483.575813 -0.360337 -0.123258 0.590625 0.034754 0.094562 0.047345 0.993785
1578481483.676685 -0.372452 -0.107695 0.616639 0.037412 0.065570 0.070811 0.994629
1578481483.777557 -0.378117 -0.101702 0.654822 0.050640 0.033214 0.082940 0.994713
1578481483.878429 -0.375814 -0.113799 0.701891 0.064663 0.003672 0.088936 0.993929
1578481483.979301 -0.356031 -0.133667 0.715763 0.071158 -0.035109 0.079813 0.993647
1578481484.080013 -0.330981 -0.174321 0.732791 0.071825 -0.065240 0.057950 0.993593
1578481484.180886 -0.282738 -0.200071 0.732212 0.063348 -0.090893 0.030219 0.993384
1578481484.281760 -0.251740 -0.274005 0.726752 0.048703 -0.101962 -0.012469 0.993517
1578481484.382633 -0.193350 -0.329922 0.748183 0.034443 -0.097683 -0.069783 0.992170
1578481484.483505 -0.146801 -0.399163 0.764840 0.021638 -0.055925 -0.120761 0.990869
1578481484.584379 -0.103621 -0.473240 0.775750 0.024462 -0.030549 -0.172987 0.984146
1578481484.685250 -0.052987 -0.522121 0.716421 0.026079 -0.016376 -0.188141 0.981659
1578481484.786122 -0.014259 -0.540395 0.643907 0.031131 0.029375 -0.188061 0.981224
1578481484.886994 0.020867 -0.550864 0.662198 0.015425 0.066594 -0.170431 0.982996
1578481484.987866 0.050209 -0.521868 0.608843 0.025450 0.108665 -0.135920 0.984414
1578481485.088574 0.067907 -0.474296 0.569639 0.042818 0.131619 -0.092303 0.986064
1578481485.189448 0.066976 -0.430646 0.556687 0.052097 0.140217 -0.049072 0.987531
